Subject ,Complaint Number,Province,"Municipality / 
City",Barangay,Sitio,Longitude,Latitude,"Google Map Link
(Location Point)",Nature of Reported Illegal Act,Type of Commodity (Non-metallics),Actions Taken,Details ,"Date of
Action Taken (mm/dd/yyyy)",Laws Violated,No. of CDO Issued,Date Issued (mm/dd/yyyy),Remarks
"Monitoring of quarry sites in Brgy. Tagbakin, Atimonan, Quezon",MMD-IMC No. 2024-59,Quezon,Atimonan,Tagbakin,ND," 13°59'25.74""N","121°54'3.01""E","https://www.google.com/maps/search/?api=1&query=13°59'25.74""N, 121°54'3.01""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field inspection was conducted on 05 June 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calauag.",6/5/2024,Not Applicable,NA,NA,"NA

No actions taken; Continuous monitoring will be undertaken by CENRO Calauag to ensure that no illegal activities will be conducted within the subject area "
"Alleged illegal extraction activity in Brgy. Gulang-Gulang, Lucena City, Quezon",MMD-IMC No. 2024-60,Quezon,Lucena,Gulang-Gulang,ND," 13°58'2""N","121°36'15""E","https://www.google.com/maps/search/?api=1&query=13°58'2""N, 121°36'15""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 22 May 2024 by the Embedded Technical Personnel of this Office, together with the patrol sectors of Lucena City and Barangay Local Government Unit of Domoit",5/22/2024,Not Applicable,NA,NA,Letter dated 7/8/2024 to Provincal Governor endorsing the matter for further verification
"Monitoring of the quarrying operations of Messrs. Kim Joshua Ong and Michael Louise Ong in Brgy. Ibabang Palsabangon, Pagbilao, Quezon",MMD-IMC No. 2024-61,Quezon,Pagbilao,Ibabang Palsabangon,ND," 13°59'19""N","121°43'39""E","https://www.google.com/maps/search/?api=1&query=13°59'19""N, 121°43'39""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 02 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the  Local Government Unit of Pagbilao, Provincial Mining Regulatory Board of Quezon, Environmental Management Bureau CALABARZON, and Community Environment and Natural Resources Office of Tayabas.",7/2/2024,Not Applicable,NA,NA,"Letter dated 7/15/2024 to the Provincal Government of Quezon

PMRB Quezon issued Temporary CDOs to Messrs. Kim Joshua Ong and Michael Louis P. Ong (lifted through Letters dated 9/4/2024)"
"Alleged retail-selling of boulders in Nasugbu, Batangas",MMD-IMC No. 2024-63,Batangas,Nasugbu,Catandaan,ND," 14° 5'57.37""N","120°41'31.61""E","https://www.google.com/maps/search/?api=1&query=14° 5'57.37""N, 120°41'31.61""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 03 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca.",7/3/2024,Not Applicable,NA,NA,Letter dated 7/26/2024 to Complainant and Memorandum dated 7/26/2024 to DENR Action Center/Hotiline
"Alleged illegal mining activities in Brgy. Pagkalinawan, Jalajala, Rizal",MMD-IMC No. 2024-64,Rizal,Jalajala,Pagkalinawan,ND," 14°18'57""N","121°20'5""E","https://www.google.com/maps/search/?api=1&query=14°18'57""N, 121°20'5""E",Illegal Mineral Processing,Diatomaceous Earth,Conducted Investigation,"A field investigation was conducted on 09 July 2024 by the Embedded Technical Personnel of this Office assigned at the Provincial Environment and Natural Resources Office of Rizal, together with representatives from the Provincial Government of Rizal and Municipal Police Station of Jalajala.",7/9/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"Letter-Order dated 7/26/2024 to Ms. Jennifer R. Sam and Letter dated 7/26/2024 to Barangay Chairman of Pagkalinawan

Letter dated 8/12/2024 of Ms. Jennifer R. Sam submitting her justifications in the 7/26/2024 Letter of this Office

Letter dated 8/14/2024 to Ms. Jennifer R. Sam acknowledging the justifications due to the sufficient merit presented"
"Alleged illegal sand and gravel extraction at Sitio Mahayahay, Brgy. Casay, San Francisco, Quezon",MMD-IMC No. 2024-65,Quezon,San Francisco,Casay,Mahayahay," 13°17'28""N","122°31'59""E","https://www.google.com/maps/search/?api=1&query=13°17'28""N, 122°31'59""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 01 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Catanauan, Municipal Environment and Natural Resources Office of San Francisco, and Barangay Local Government Unit of Casay.",7/1/2024,Theft of Minerals (Section 103 of RA 7942),1,7/26/24,"Cease and Desist Order dated 7/26/2024 to Mr. Joey O. Cumayas

Monitoring Report dated 8/12/2024 wherein it was found that the sand extraction and hollow block production already stopped after the previous investigation; Continuous monitoring will be undertaken by the LGU of San Francisco within the subject area so as to ensure compliance with the issued CDO"
"Alleged illegal quarrying activity in Brgy. San Roque, Sariaya, Quezon",MMD-IMC No. 2024-66,Quezon,Sariaya,San Roque,ND," 13°51'46""N","121°31'15""E","https://www.google.com/maps/search/?api=1&query=13°51'46""N, 121°31'15""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 17 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Tayabas and Municipal Environment and Natural Resources Office of Sariaya.",7/17/2024,Theft of Minerals (Section 103 of RA 7942),1,7/26/24,Cease and Desist Order dated 7/26/2024 to Mr. Allan Briñosa and Letter dated 7/26/2024 to Complainant
"Alleged illegal seawall construction at Sitio Mangcarang, Brgy. Silongin, San Francisco, Quezon",MMD-IMC No. 2024-67,Quezon,San Francisco,Silongin,Mangcarang," 13°18'45""N","122°31'22""E","https://www.google.com/maps/search/?api=1&query=13°18'45""N, 122°31'22""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 15 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Catanauan and Barangay Local Government Unit of Silongin.",7/15/2024,Theft of Minerals (Section 103 of RA 7942),3,7/26/24,"Cease and Desist Orders dated 7/26/2024 to Mr. Ronald Arrogante and Mesdames Felicitas Pobeda and Amelita Rabadon

Monitoring Report dated 8/9/2024 wherein no recent or active mining-related activies were undertaken within the vicinity; Moreover, the condition of the subject area remains the same, as observed from the previous investigation

Electronic mail dated 8/8/2024 of Ms. Felicitas Pobeda requesting for reconsideration re issued CDO

Memorandum dated 8/13/2024 from MGB CO endorsing the Request for Reconsideration

Letter-Reply dated 8/14/2024 to Ms. Felicitas Pobeda re: 8/8/2024 electronic mail (copy furnished MGB CO, DENR 4A, and DENR Action Center/Hotline)"
"Alleged discharge of wastewater from the crushing plant of Bobrock Trading & Aggregates Co. in Brgy. Gumamela,Balayan, Batangas",MMD-IMC No. 2024-68,Batangas,Balayan,Gumamela,ND," 13°56'41.98""N","120°44'19.95""E","https://www.google.com/maps/search/?api=1&query=13°56'41.98""N, 120°44'19.95""E",Illegal Mineral Processing,Aggregates,Conducted Investigation,"A field investigation was conducted on 04 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca and Barangay Local Government Unit of Gumamela.",7/4/2024,Theft of Minerals (Section 103 of RA 7942),1,7/29/24,Stoppage Order dated 7/29/2024 to Bobrock Trading & Aggregates Co. 
"Alleged illegal extraction of earth materials in Brgy. Calubcub II, San Juan,Batangas",MMD-IMC No. 2024-69,Batangas,San Juan,Calubcub II,ND,13° 44' 12.22'' N,121° 25' 9.31'' E,"https://www.google.com/maps/search/?api=1&query=13° 44' 12.22'' N, 121° 25' 9.31'' E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 15 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Lipa and Barangay Local Government Unit of Calubcub II.",7/15/2024,Theft of Minerals (Section 103 of RA 7942),3,8/5/24,"Cease and Desist Orders dated 08/05/2024 to Messrs. Julian Trivino, Reynante Pilapil, and Marcelino Manalo

Monitoring Report dated 19 September 2024 of CENRO Lipa wherein it was found that Messrs. Julian Trivino, Reynante Pilapil, and Marcelino Manalo heed with the issued CDOs"
"Alleged illegal quarrying activity of La Concepcion Mining Community Homeowners Association Inc. in Antipolo, Rizal",MMD-IMC No. 2024-70,Rizal,Antipolo,Bagong Nayon,ND," 14°37'30""N","121°9'17""E","https://www.google.com/maps/search/?api=1&query=14°37'30""N, 121°9'17""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 29 July 2024 by the Embedded Technical Personnel of this Office assigned at the Provincial Environment and Natural Resources Office of Rizal, together with representatives from the Barangay Local Government Unit of Bagong Nayon.",7/29/2024,Not Applicable,NA,NA,Memorandum dated 08/01/2024 to the DENR Action Center/Hotline
"Alleged illegal mining activity in Barangay Abuyon, San Narciso, Quezon",MMD-IMC No. 2024-71+,Quezon,San Narciso,Abuyon,ND," 13°37'23.673""N","122°31'11.208""E","https://www.google.com/maps/search/?api=1&query=13°37'23.673""N, 122°31'11.208""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 24 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Catanauan and Barangay Local Government Unit of Abuyon.",7/24/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,Letter dated 8/14/2024 to Hon. Chairman Ernie B. Dumaguin 
"Alleged illegal extraction of sand and gravel at Sitio Dapdap, Brgy. Luod, Patnanungan, Quezon",MMD-IMC No. 2024-72,Quezon,Patnanungan,Luod,Dapdap," 14°50'38.30""N","122° 5'57.16""E","https://www.google.com/maps/search/?api=1&query=14°50'38.30""N, 122° 5'57.16""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,A field investigation was conducted on 17 July 2024 by the technical personnel from the Community Environment and Natural Resources Office of Real.,7/17/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,Letter dated 8/14/2024 to Complainant; Letter dated 8/14/2024 to Barangay Chairman of Luod
"Alleged illegal mining at Sitio Villa Ynares, Brgy. Bagong Nayon, Antipolo, Rizal",MMD-IMC No. 2024-73,Rizal,Antipolo,Bagong Nayon,Villa Ynares," 14°37'53""N","121°9'24""E","https://www.google.com/maps/search/?api=1&query=14°37'53""N, 121°9'24""E",Illegal Mineral Processing,Aggregates,Conducted Investigation,"A field investigation was conducted on 05 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Barangay Local Government Unit of Bagong Nayon.",8/5/2024,Theft of Minerals (Section 103 of RA 7942),1,8/14/2024,"Letter dated 8/14/2024 to Complainant; Cease and Desist Order dated 8/14/2024 to Solar Resources, Inc.; and Memorandum dated 8/14/2024 to EMB RO No. IV CALABARZON

Letter dated 1/13/2025 from Solar Resources, Inc. requesting that the Provincial Government be clarified that the CDO is only for the operation of the crushing plant

Letter dated 4/23/2025 to the Provincial Government of Rizal providing clarifications re issued CDO

Letter-Reply dated 4/23/2025 to Solar Resources, Inc."
"Alleged illegal mining at Sitio Cacabay, Brgy. Sapang II, Ternate, Cavite",MMD-IMC No. 2024-74,Cavite,Ternate,Sapang II,Cacabay," 14°16'6""N","120°41'49""E","https://www.google.com/maps/search/?api=1&query=14°16'6""N, 120°41'49""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 16 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Local Government Unit of Ternate, Philippine National Police of Ternate, and Provincial Environment and Natural Resources Office of Cavite.",7/16/2024,Not Applicable,NA,NA,"Letter dated 8/19/2024 to Complainant

Electronic Mail Reply dated 9/30/2024 from Complainant seeking clarification regarding the findings during the conduct of investigation

Memorandum dated 10/03/2024 from MGB CO forwarding the email-reply dated 9/30/2024 from Complainant regarding the pertinent Investigation Report, for our appropriate action

Letter-Response dated 10/09/2024 to Complainant

Memorandum dated 10/11/2024 forwarding a copy of the Letter-Response dated 10/09/2024 to Complainant"
"Alleged illegal mining at Sitio Cacabay, Brgy. Sapang II, Ternate, Cavite",MMD-IMC No. 2024-75,Cavite,Ternate,Sapang II,Cacabay," 14°16'6""N","120°41'49""E","https://www.google.com/maps/search/?api=1&query=14°16'6""N, 120°41'49""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 16 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Local Government Unit of Ternate, Philippine National Police of Ternate, and Provincial Environment and Natural Resources Office of Cavite.",7/16/2024,Not Applicable,NA,NA,Letter dated 8/19/2024 to Complainant
"Alleged quarrying operations in Brgy. Toong, Tuy, Batangas",MMD-IMC No. 2024-76,Batangas,San Juan,Laiya-Aplaya,Maquitib," 13°41'19.38""N","121°23'25.40""E","https://www.google.com/maps/search/?api=1&query=13°41'19.38""N, 121°23'25.40""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 12 August 2024 by the Embedded Technical Personnel of this Office, together with a representative from the Community Environment and Natural Resources Office of Lipa.",8/12/2024,Not Applicable,NA,NA,"Letter dated 8/30/2024 to Complainant

Memorandum dated 10/28/2024 from DENR 4A endorsing the 8/15/2024 Investigation Report of CENRO Lipa"
"Alleged quarry site at Sitio Singkaran, Brgy. Bilibinwang, Agoncillo, Batangas",MMD-IMC No. 2024-77,Batangas,Agoncillo,Bilibinwang,Singkaran," 13°59'45.02""N","120°56'23.05""E","https://www.google.com/maps/search/?api=1&query=13°59'45.02""N, 120°56'23.05""E",Not Illegal Mining,Not Applicable,Conducted Investigation,A field investigation was conducted on 13 June 2024 by the Protected Area Management Office – Taal Volcano Protected Landscape.,6/13/2024,Not Applicable,NA,NA,Letter dated 8/30/2024 to the Municipal Mayor of Agoncillo
"Alleged illegal quarrying in Brgy. Bilibinwang, Agoncillo, Batangas",MMD-IMC No. 2024-78,Batangas,Agoncillo,Bilibinwang,Bangladesh," 13°59'36.41""N","120°56'43.79""E","https://www.google.com/maps/search/?api=1&query=13°59'36.41""N, 120°56'43.79""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,A field investigation was conducted on 13 June 2024 by the Protected Area Management Office – Taal Volcano Protected Landscape.,6/13/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"No actions taken yet

Awaiting result of Show Cause Order to be issued by the Protected Area Management Office – Taal Volcano Protected Landscape to Mr. Julian Alcedo"
"Investigation and apprehension of offenders and seizure of illegally-sourced minerals, equipment and conveyances in Brgy. Calantas, Calaca, Batangas",MMD-IMC No. 2024-79,Batangas,Calaca,Calantas,ND," 13°57'8.58""N","120°46'18.86""E","https://www.google.com/maps/search/?api=1&query=13°57'8.58""N, 120°46'18.86""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 09 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca, Local Government Unit of Calaca, and Provincial Government - Environment and Natural Resources Office of Batangas.",8/9/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"1. Investigation Report dated 8/12/2024
2. Seizure Receipt dated 8/9/2024
3. Joint Judicial Affidavit of Arrest filed on 8/12/2024"
Alleged quarrying activities in the Maragondon Mountains,MMD-IMC No. 2024-80,Cavite,Maragondon,Pinagsanhan B,ND," 14°16'55""N","120°44'2""E","https://www.google.com/maps/search/?api=1&query=14°16'55""N, 120°44'2""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"Field investigations were conducted on 03 May 2024 and 15 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Provincial Environment and Natural Resources Office of Cavite and Municipal Environment and Natural Resources Office of Maragondon.",5/3/2024 & 8/15/2024,Not Applicable,NA,NA,"Letter dated 8/30/2024 to Complainant

Electronic Mail Reply dated 9/5/2024 informing this Office on the purported “destruction of a NATURAL WONDER OF THE WORLD""

Letter-Response dated 9/9/2024 to Complainant"
"Alleged unauthorized earthmoving and transport activities in Brgy. Prenza, Lian, Batangas ",MMD-IMC No. 2024-81,Batangas,Lian,Prenza,Balanoy," 14° 0'37.97""N","120°38'18.23""E","https://www.google.com/maps/search/?api=1&query=14° 0'37.97""N, 120°38'18.23""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 07 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca, Municipal Environment and Natural Resources Office of Lian, and Barangay Local Government Unit of Prenza.",8/7/2024,Theft of Minerals (Section 103 of RA 7942),1,8/30/2024,"Cease and Desist Order dated 8/30/2024 to Serenity Resort and Events Place

A Technical Conference was spearheaded on 9/9/2024 by CENRO Calaca re: findings during the conduct of investigation and actions taken; SREP committed (a) to abide with the CDO through rehabilitation and stabilzation of the subject area, (b) to secure ECC, and (c) to adhere to the easement as stated in PD 1067; CENRO Calaca will ensure the monitoring on the compliance of SREP with the issued CDO

Memorandum dated 10/11/2024 from DENR 4A providing a copy of the Highlights of the abovementioned Technical Conference"
"Joint inspection/ monitoring of quarry sites within the City of Calaca, Province of Batangas",MMD-IMC No. 2024-82,Batangas,Calaca,ND,ND," 13°57'18.42""N","120°46'18.24""E","https://www.google.com/maps/search/?api=1&query=13°57'18.42""N, 120°46'18.24""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A joint inspection/monitoring was conducted on 09 August 2024 by the Embedded Technical Personnel of this Office, together with technical personnel from the Community Environment and Natural Resources Office of Calaca, Provincial Government Environment and Natural Resources Office of Batangas, and City Local Government Unit of Calaca.",8/9/2024,Not Applicable,NA,NA,Letter dated 8/30/2024 to the Provincial Government of Batangas
"Alleged illegal mining activity in Brgy. Mahabang Kahoy Lejos, Indang, Cavite",MMD-IMC No. 2024-83,Cavite,Indang,Mahabang Kahoy Lejos,ND,14°9'19.93''N,120°55'8.28'' E,"https://www.google.com/maps/search/?api=1&query=14°9'19.93''N, 120°55'8.28'' E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 26 July 2024  by the Embedded Technical Personnel of this Office, together with technical personnel from the Provincial Environment and Natural Resources Office of Cavite, Municipal Environment and Natural Resources Office of Indang Cavite, and the Barangay Local Government Unit of Brgy. Mahabang Kahoy Lejos, Indang, Cavite.",7/26/2024,Not Applicable,NA,NA,"Letter dated 9/9/2024 to the Municipal Government of Indang, Cavite"
"Alleged illegal quarrying in Brgy. Magsaysay, Siniloan, Laguna",MMD-IMC No. 2024-84,Laguna,Siniloan,Magsaysay,ND,"14°29'48.87""N","121°31'15.99""E","https://www.google.com/maps/search/?api=1&query=14°29'48.87""N, 121°31'15.99""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 02 July 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Sta. Cruz, Municipal Environment and Natural Resources Office of Siniloan, Barangay Local Government Unit of Magsaysay, and Provincial Mining Regulatory Board of Laguna.",7/2/2024,Not Applicable,NA,NA,"NA

No actions taken: No earth materials were disposed and transported outside the subject area

Considering that the observed permanent structures are within Presidential Proclamation No. 1636, the Protected Area Superintendent will issue a Show Cause Order to the owner of the Cayetano Farm"
"Alleged illegal mining activity in Lotus St., San Miguel 2, Silang, Cavite",MMD-IMC No. 2024-85,Cavite,Silang,San Miguel 2,ND,"14°13'29""N","120°57'58""E","https://www.google.com/maps/search/?api=1&query=14°13'29""N, 120°57'58""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 26 July 2024  by the Embedded Technical Personnel of this Office, together with technical personnel from the Provincial Environment and Natural Resources Office of Cavite, Municipal Environment and Natural Resources Office of Silang Cavite, and the Barangay Local Government Unit of Brgy. San Miguel 2, Silang, Cavite.",7/26/2024,Not Applicable,NA,NA,Letters dated 9/9/2024 to the National Water Resources Board and National Commission for Culture and the Arts
"Appeal for the Stoppage of Quarrying Operations in Brgy. San Diego, Lian, Batangas",MMD-IMC No. 2024-86,Batangas,Lian,San Diego,ND,"14°2'8""N","120°37'50""E","https://www.google.com/maps/search/?api=1&query=14°2'8""N, 120°37'50""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 07 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca, Municipal Environment and Natural Resources Office of Lian, and Barangay Local Government Unit of San Diego.",8/7/2024,Not Applicable,NA,NA,"Letter dated 9/9/2024 to Provincial Government of Batangas; Memorandum dated 9/9/2024 to EMB RO No. IV CALABARZON (cc: DENR 4A, among others)

Memorandum dated 10/03/2024 from DENR 4A endorsing the Investigation Report dated 8/16/2024 of CENRO Calaca"
"Alleged illegal excavation and sand extraction at Sitio Inanuran, Brgy. Talisay, San Andres, Quezon",MMD-IMC No. 2024-87,Quezon,San Andres,Talisay,Inanuran,"13°13'43.164""N","122°42'4.5""E","https://www.google.com/maps/search/?api=1&query=13°13'43.164""N, 122°42'4.5""E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A field investigation was conducted on 15 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Catanauan, and Barangay Local Government Unit of Talisay.",8/15/2024,Theft of Minerals (Section 103 of RA 7942),2,9/17/2024,"Cease and Desist Order dated 9/17/2024 to Mr. and Mrs. Jerson Benig; Cease and Desist Order dated 9/17/2024 to  Ms. Marissa P. Monares

Monitoring Report dated 10/21/2024 wherein no recent or active mining-related activies were undertaken within the vicinity; Moreover, the condition of the subject area remains the same, as observed from the previous investigation"
"Alleged illegal quarrying operations by Mr. Danny Del Mundo and Ms. Bridgette Del Mundo at Town & Country Heights Subdivision, Barangay San Luis, Antipolo, Rizal",MMD-IMC No. 2024-88,Rizal,Antipolo,San Luis,ND,"14°36'5""N","121°12'17""E","https://www.google.com/maps/search/?api=1&query=14°36'5""N, 121°12'17""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 13 September 2024 by the Embedded Technical Personnel of this Office, together with a representative from the Provincial Government of Rizal",9/13/2024,Not Applicable,NA,NA,Letters dated 9/20/2024 to Complainant and the City Government of Antipolo
"Alleged mangrove destruction in Brgy. Pantalan, Nasugbu, Batangas",MMD-IMC No. 2024-89,Batangas,Nasugbu,Pantalan,ND," 14° 5'13.76""N","120°37'37.98""E","https://www.google.com/maps/search/?api=1&query=14° 5'13.76""N, 120°37'37.98""E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 20 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca and Barangay Local Government Unit of Pantalan.",8/20/2024,Not Applicable,NA,NA,"NA

No actions taken since CENRO Calaca has already (a) issued Show Cause Order dated 9/8/2024 to Mr. Henry Lu, purported operator of development activity in the subject area, and (b) endorsed the matter on 9/8/2024 to EMB RO No. IV CALABARZON, for further appropriate action; CENRO Calaca will conduct continuous monitoring within the subject area"
"Monitoring of illegal quarrying operations along Dacanlao River in Brgy. Calantas, Calaca, Batangas",MMD-IMC No. 2024-90,Batangas,Calaca,Calantas,ND,ND,ND,ND,Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"A surveillance activity was conducted on 27 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca.",8/27/2024,Theft of Minerals (Section 103 of RA 7942),0,NA,"NA

No actions taken since CENRO Calaca has already requested assistance from DENR-ELEPS to conduct ENR law enforcement procedures and operations, in view of rampant illegal extraction observed within the subject area"
"Joint operation against illegal extraction and transport activities along the stretch of Dacanlao River, natural boundary of the Municipality of Balayan and City of Calaca, Batangas",ND,Batangas,Calaca and Balayan,ND,ND,ND,ND,ND,Not Illegal Mining,Not Applicable,Conducted Investigation,"A joint operation was conducted on 02 October 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office of Calaca, Environmental Law Enforcement and Protection Service, Philippine National Police-Maritime Group Batangas, and Philippine Army 59th Infantry Battalion.",10/02/2024,Not Applicable,NA,NA,"NA

Upon the conduct of the joint operations, the Team was not able to apprehend violators and seize conveyance, among others, as no extraction and disposal activities were observed; CENRO Calaca will continue its efforts to protect the environment and natural resources through the  conduct of surveillance and intelligence activities as the need arises"
Alleged illegal mining operations within the 46.5138-hectare Contract Area under Mineral Production Sharing Agreement No. 124-98-IV Amended B of Caliza Mining and Quarrying Corporation,MMD-IMC No. 2024-91,Rizal,Antipolo,San Jose,ND,14°34’41.788” N,121°13’1.249” E,"https://www.google.com/maps/search/?api=1&query=14°34’41.788” N, 121°13’1.249” E",Illegal Quarrying(Non-Metallic)/SAG Extraction,Limestone,Conducted Investigation,"A field investigation was conducted on 19-20 September 2024 by this Office, together with representatives from the Island Quarry and Aggregates Corporation.","9/19/2024 & 
9/20/2024",Theft of Minerals (Section 103 of RA 7942),0,NA,"Letter dated 9/23/2024 to Caliza Mining and Quarrying Corporation, copy furnished Island Quarry and Aggregates Corporation, requiring to take necessary and appropriate measures, e.g., to identify the group of perpetrators conducting illegal mining operations; to use satellite imagery and drones, among others, to monitor areas where illegal mining activities were undertaken; and to prevent the recurrence of such illegal activity pursuant to Section 118 of DAO No. 2010-21"
"Alleged illegal quarrying in Barangay Lantic, Carmona, Cavite",MMD-IMC No. 2024-93,Cavite,Carmona,Lantic,ND,"14°16'15"" N",121°1'3'' E,"https://www.google.com/maps/search/?api=1&query=14°16'15"" N, 121°1'3'' E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 16 September 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Provincial Environment and Natural Resources Office Cavite.",9/16/2024,Not Applicable,NA,NA,Letter dated 9/30/2024 to the LGU of Carmonal Cavite; Memorandum to DENR Action Center dated 9/30/2024
"Alleged illegal construction of rest house/picnic hut for rent inside the mangrove area at Brgy. Mabutag, Buenavista, Quezon",MMD-IMC No. 2024-94,Quezon,Buenavista,Mabutag,ND," 13°43'55.92"" N","122°30'38.87"" E","https://www.google.com/maps/search/?api=1&query=13°43'55.92"" N, 122°30'38.87"" E",Not Illegal Mining,Not Applicable,Conducted Investigation,"A field investigation was conducted on 28 August 2024 by the Embedded Technical Personnel of this Office, together with representatives from the Community Environment and Natural Resources Office Catanauan.",8/28/2024,Not Applicable,NA,NA,Memorandum dated 10/04/2024 ro EMB IVA
"Alleged illegal quarrying at the boundaries of Barangays Makiling and Puting Lupa, Calamba City, Laguna",MMD-IMC No. 2024-95,Laguna,Calamba,Makiling and Puting Lupa,ND,ND,ND,ND,Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"A field investigation was conducted on 24 September 2024 by the Embedded Technical Personnel of this Office, together with a representative from the Provincial Environment Management Office of Laguna.",9/24/2024,Theft of Minerals (Section 103 of RA 7942),1,10/08/24,"Memorandum dated 10/03/2024 from DENR 4A endorsing the Complaint of Sta. Lucia Residents

Letter dated 10/08/2024 to the City Government Unit of Calamba, Letter dated 10/08/2024 to Provincial Government of Laguna, Letter dated 10/08/2024 to Sta. Lucia Residents, and Cease and Desist Order dated 10/08/2024 issued to Mr. Ramon Esquivel of Cliberduche Corporation (cc: DENR 4A, among others)

Memorandum dated 11/22/2024 from DENR 4A endorsing the Investigation Report dated 9/24/2024 from CENRO Sta. Cruz"
